Body Part,Exercise Type,Exercise Style 1,Exercise Style 2,Implementation Options ,Implementation Options 2
,Nordic Eccentric Hamstrings Curl,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Seated Leg Curl ,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
,Standing Leg Curl,"Uni-Lateral
Heels Together
Hip Width Stance
Wide Stance
Dorsiflexed
Plantarflexed
Poliquin
2 up 1 down
1.25 reps
",,"Dumbbell
Kettlebell
Barbell
Banded
Medicine Ball
weight vest
Chains
Low Pulley
Mid Pulley
High Pulley",
Neck,"Neck Extension, Prone","Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
,"Neck Extension, Machine","Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
,Neck Extension - Standing - Swiss Ball,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
,Neck Extension - Supine - Swiss Ball,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
,Neck Extension - Harness,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
,Neck Flexion - Supine,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
,Neck Flexion - Machine,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
,Neck Flexion - Standing - Swiss Ball,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
,Neck Flexion - Kneeling - Swiss Ball,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
,Neck Lateral Flexion - Swiss Ball,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
,Neck Lateral Flexion - Machine,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
,Neck Lateral Flexion - Harness,"Harness            
Machine            
Standing  Swiss Ball          
Supine  Swiss Ball          
Towel            
Isometric
Kneeling",,"Low Pulley
Mid Pulley
High Pulley
Bands
Dumbbell
weight plate
Band ",
Pectorals,Incline Bench Press,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Close Grip - Neutral
Close Grip - Pronated
Close Grip - Semi Pronated
Medium Grip - Neutral
Medium Grip - Pronated
Medium Grip - Semi-Pronated
Wide Grip - Neutral
Wide Grip - Pronated
Wide Grip - Semi Pronated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Incline Bench Press - Mid Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Close Grip - Neutral
Close Grip - Pronated
Close Grip - Semi Pronated
Medium Grip - Neutral
Medium Grip - Pronated
Medium Grip - Semi-Pronated
Wide Grip - Neutral
Wide Grip - Pronated
Wide Grip - Semi Pronated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Incline Bench Press - Wide Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Close Grip - Neutral
Close Grip - Pronated
Close Grip - Semi Pronated
Medium Grip - Neutral
Medium Grip - Pronated
Medium Grip - Semi-Pronated
Wide Grip - Neutral
Wide Grip - Pronated
Wide Grip - Semi Pronated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Incline Bench Press - Neutral Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Close Grip - Neutral
Close Grip - Pronated
Close Grip - Semi Pronated
Medium Grip - Neutral
Medium Grip - Pronated
Medium Grip - Semi-Pronated
Wide Grip - Neutral
Wide Grip - Pronated
Wide Grip - Semi Pronated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Incline DB Bench Press - Neutral Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Incline DB Bench Press - Pronated Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Incline DB Bench Press - Rotating Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Incline DB Bench Press - Semi-Pronated Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Incline DB Bench Press - Semi-Supinated Grip,"10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       ","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Bench Press,"Close Grip
Medium Grip
Wide Grip","Neutral
Pronated
Semi-Pronated
Semi-Supinated","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Bench Press to the Neck,"Medium Grip
Wide Grip",,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,DB Bench Press,"Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Decline Bench Press,"Close Grip
Medium Grip
Wide Grip","Neutral
Pronated
Semi-Pronated
Semi-Supinated
Rotating","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Rack Bench Press,"Close Grip
Medium Grip
Wide grip","top 1/4 lockout
top 1/3 lockout
top 1/2 lockout","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Chest Dip,"Gironda            
Parallel Bar            
Roman Rings            
V Bar            ","Narrow
Medium
Wide","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Cable Chest Fly,"Flat
Incline
Decline
Standing
Kneeling","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,DB Chest Fly,"Flat
10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       
Decline","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Machine Chest Fly,"Neutral
Pronated",,"Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Machine Chest Press,"Flat
10° Incline      
15° Incline
30° Incline      
45° Incline
60° Incline       
75° Incline       
Decline","Neutral Grip
Pronated Grip
Semi-Pronated Grip
Semi-Supinated Grip
Rotating Grip
Converging","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
,Push-up,"Decline
clapping            
Feet on Ball            
Feet on Bench            
Roman Rings            
Rack
Bench","Hands Close
Hands Chest Width
Hands Wide","Barbell
Dumbbell
T-Grip Bar
Football Bar
Thick Bar
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Multi-Grip Bar
add Custom",
Posterior Chain/Glutes,"Back Extension, 45° Incline            ","Offset
Uni-Lateral",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,"Back Extension, Horizontal",,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,"Seated Back Extension, Machine",,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Deadlift,"Clean Grip            
Snatch Grip","Podium
Rack Above Knee
Rack Below Knee
Blocks","Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Romanian Deadlift,"Clean Grip            
Snatch Grip
1-Leg","Podium
Rack Above Knee
Rack Below Knee
Blocks","Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Sumo Deadlift,"Clean Grip
Over-Under grip
Straps","Podium
Rack at Knee
Rack Below Knee","Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Glute-ham Raise,"close stance
medium stance
wide stance",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Goodmorning,"Seated  Medium Stance          
Seated  Wide Stance          
Standing  Medium Stance          
Standing  Wide Stance          ",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Hip Bridge,"Supine            
Supine  Unilateral          
Swiss Ball            
Swiss Ball  Unilateral          ",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Hip Bridge + Knee Flexion Combo,"Swiss Ball            
Swiss Ball  Unilateral          ",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Kettlebell Swings,,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Cable Pull-Through,"Medium Stance            
Wide Stance            ",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Reverse Hip Extension,"Feet Medium            
Feet Narrow            
Feet Wide            
Swiss Ball            ",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Monster Walk,"Seated
Standing","Machine
Band","Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,"Side Lying Hip Abduction, Bent Knee",Side Lying,Cable,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Cable Hip Abduction,"Seated
Standing
Side Lying","Machine
Band
Cable","Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Supine Hip Bridge,Dynamic,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Hip Hinge,"Standing
Kneeling",Banded,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,McKenzie Press-up,,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
,Prone Cobra,,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",
Quadriceps,Cossack Squat,,,Buffalo Bar,
,Goblet Squat,,,Safety Bar,
,Machine Hack Squat,"Feet High
Feet Low 
Feet Middle","Narrow Stance
Medium Stance
Wide Stance
Duck Stance
Platz Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Barbell Hack Squat,Heels Elevated,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Leg Extension,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Leg Extension,Unilateral            ,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Horizontal Leg Press,"Feet High
Feet Low 
Feet Middle
Uni-Lateral
Platz Stance","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Incline Leg Press,"Feet High
Feet Low 
Feet Middle
Uni-Lateral
Platz Stance","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Lunge,"Forward
Drop
Reverse
Walking Forward
Walking Backward            ",Alternating,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Pendulum Squat,"Duck Stance
Narrow Stance
Medium Stance
Wide Stance",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Power Squat Machine,"Facing In
Facing Out","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Split Squat,"Front Foot Elevated            
Rear Leg Elevated",1.25 reps,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Low Bar Squat,"Narrow Stance
Medium Stance
Wide Stance","Top 1/3 range
Top 1/4 range
Isometronic","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Inertia Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance
Front Narrow Stance
Front Medium Stance
Front Wide Stance
Front Duck Stance","Top 1/4 range
Top 1/3 range
Top 1/2 range
Top 1/4 range w/ankle extension
Top 1/3 range w/ankle extension
Top 1/2 range w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Front Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Single Leg Squat,"Crouching
Bench Get up",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Pistol Squat,heel elevated,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Jump Squat,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Machine Squat,"Feet High
Feet Low 
Feet Middle
Uni-Lateral
Platz Stance","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Trap Bar Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Overhead Squat,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Telemark Squat,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
,Step-up,"Front            
Front  Low Box          
Petersen            
Poliquin            
Russian            
Russian  Alternating          
Side            
Side  Low Box          ",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",
Shoulders,Arnold Press,"Seated            
Standing            ",,,
,Band Pull Aparts,,,,
,Behind the Neck Press,"Seated            
Standing            ",,,
,External Rotation,"Arm Extended and Abducted in Front            
Arm Extended and Abducted Overhead            
Arm Extended and Abducted to Side            
Arm Extended and Adducted to Side            
Arm Abducted in Front          
Arm Abducted to Side          
Arm Adducted to Side  Low Pulley        
Arm Adducted to Side  Mid Pulley        
Sidelying            
Cobra            
Cuban Press          
Elbow on Knee            
Muscle Snatch          ","Seated
Standing
Kneeling",,
,Front Raise,"15° Incline  Narrow Grip
15° Incline  Medium Grip      
15° Incline  Wide Grip
15° Incline  One Arm     
30° Incline  Narrow Grip     
30° Incline  Medium Grip        
30° Incline  Wide Grip       
30° Incline  One-Arm
45° Incline   Narrow Grip       
45° Incline  Medium Grip        
45° Incline  Wide Grip        
45° Incline  One-Arm        
60° Incline   Narrow Grip
60° Incline  Medium Grip
60° Incline  Wide Grip
60° Incline  One-Arm
Chest Supported  Scott Bench
Seated  Narrow         
Seated  Medium Grip       
Seated  Wide Grip      
Seated  One-Arm       
Standing  Narrow Grip   
Standing  Medium Grip        
Standing  Wide Grip       
Standing  One-Arm  ","Neutral
Pronated
Pronating
Supinated
Supinating
Semi-Pronated
Semi-Supinated",,
,Horizontal Abduction,"Seated 
Standing
Kneeling","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated",,
,Landmine Press,"Neutral
Pronated",,,
,Lateral Raise,"Bent-over            
Machine            
Prone  15° Incline          
Prone  30° Incline     
Prone  45° Incline      
Prone  60° Incline      
Prone  75° Incline       
Prone  Flat          
Seated            
Seated  L-Lateral          
Standing
Standing L-Lateral",One-Arm,,
,Sidelying Lateral Raise,"on Forearm     
15° Incline       
30° Incline       
45° Incline           ","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated",,
,One-arm Land Mine Press,,,,
,Powell Raise,"15° Incline            
30° Incline            
45° Incline            
Flat            
Floor            
Swiss Ball            ","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated",,
,Reverse Flye,"Machine  Seated  Neutral        
Machine  Seated  Pronated        ",,,
,Scott Press,"Seated            
Standing            ",,,
,Shoulder Press,"Machine  Seated  Neutral        
Machine Seated
Seated
Seated Unsupported
Standing
Standing one arm anchored","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated
One-Arm Neutral
One-Arm Pronated
One-Arm Rotating",,
,Shrug,"Prone  45° Incline        
Prone  60° Incline        
Prone  75° Incline        
Seated  Machine        
Seated          
Seated  One-arm        
Standing  Machine        
Standing          
Standing  One-arm        ","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated
One-Arm Neutral
One-Arm Pronated
One-Arm Rotating",,
,Sots Press,,,,
,Turkish Getup,,,,
,Upright Row,"Close grip
Medium Grip
Wide Grip","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated
One-Arm Neutral
One-Arm Pronated
One-Arm Rotating",,
Triceps,Close Grip Bench Press,"15° Incline 
30° Incline 
45° Incline 
60° Incline
Decline
Flat ","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,California Press,Flat            ,"Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Triceps Dips,"Machine
V-Bar
Parallel Bar
Rings",,"Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Floor Press,"Close grip
Medium Grip
Wide Grip","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Machine French Press,"Close Grip
Medium Grip
One-Arm","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Seated French Press,"Close Grip
Medium Grip
One-Arm","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Standing French Press,"Close Grip
Medium Grip
One-Arm","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Seated Half Press in rack,Seated  Medium Grip  Pronated        ,,"Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Kneeling Triceps Pressdown,"Close Grip      
Medium Grip
Wide Grip
One arm","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
,Prone Triceps Pressdown,"45° Incline  Close Grip        
45° Incline  Medium Grip        
45° Incline  Wide Grip","Neutral   
Pronated   
Semi-Pronated
Semi-Supinated
Supinated   ","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Bar
EZ Bar
Triceps Bar
Triceps Rope
Multi-Grip Bar",
