Body Part,Exercise Type,Exercise Style 1,Exercise Style 2,Implementation Options ,Implementation Options 2,Video Link
,Romanian Deadlift,"Clean Grip            
Snatch Grip
1-Leg","Podium
Rack Above Knee
Rack Below Knee
Blocks","Swiss Ball
Barbell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,https://youtu.be/YxyppgpirCc
,Romanian Deadlift - Dumbbell,,,,,https://www.youtube.com/watch?v=OaTPKEZwM7s
,Romanian Deadlift - One Leg,,,,,https://www.youtube.com/watch?v=nRwwd3sJEo0
,Romanian Deadlift - Kettlebell,,,,,https://www.youtube.com/watch?v=ppP5k1mRBmU
,Sumo Deadlift,"Clean Grip
Over-Under grip
Straps","Podium
Rack at Knee
Rack Below Knee","Swiss Ball
Barbell
Dumbbells 
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,https://www.youtube.com/watch?v=_CZP77cNMIE
,Sumo Deadlift - Kettlebell,,,,,https://www.youtube.com/watch?v=lxeV8bbrR60
,Glute-ham Raise,"close stance
medium stance
wide stance",,"Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,Glute-ham Raise - Machine,"close stance
medium stance
wide stance",,,,https://www.youtube.com/watch?v=DLPHbaQ98Qw
,Glute-ham Raise - Swiss Ball,"close stance
medium stance
wide stance",,,,https://www.youtube.com/watch?v=tgCjdrTrZek
,Goodmorning,"Seated  Medium Stance          
Seated  Wide Stance          
Standing  Medium Stance          
Standing  Wide Stance          ",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,Goodmorning - Seated - Sumo Stance,,,,,https://www.youtube.com/watch?v=3znzhaDptbk
,Goodmorning - Hip Width Stance,,,,,https://www.youtube.com/watch?v=qHNxxrylTss
,Goodmorning - One Leg,,,,,https://www.youtube.com/watch?v=laegKxNp_7k
,Hip Bridge,"Supine            
Supine  Unilateral          
Swiss Ball            
Swiss Ball  Unilateral          ",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,Hip Bridge + Knee Flexion Combo,"Swiss Ball            
Swiss Ball  Unilateral          ",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,Kettlebell Swings,,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,Cable Pull-Through,"Medium Stance            
Wide Stance            ",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,https://www.youtube.com/watch?v=EhDz7NjBO2k
,Reverse Hip Extension,"Feet Medium            
Feet Narrow            
Feet Wide                     ",,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,Reverse Hip Extension - Machine,,,,,https://www.youtube.com/watch?v=hThG65m6yBo
,Reverse Hip Extension - Swiss Ball,,,,,https://www.youtube.com/watch?v=p7iJSBNB7Uo
,Hip Thrust - Barbell,,,,,https://www.youtube.com/watch?v=afmpHHS0d3s
,Hip Thrust - Machine,,,,,https://www.youtube.com/watch?v=ST25yCmZ2Pw
,"Hip Extension, Incline",,,,,https://youtu.be/MwumduCFzG4
,"Hip Extension, Horizontal",,,,,https://youtu.be/9_7eR1XeQMM
,Alternating Superman,,,,,https://www.youtube.com/watch?v=-dbCs94pTsw
,Monster Walk,"Seated
Standing","Machine
Band","Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,https://www.youtube.com/watch?v=vA1uI3fBJ24
,"Side Lying Hip Abduction, Bent Knee",Side Lying,Cable,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,Side Lying Hip Abduction,,,,,https://www.youtube.com/watch?v=aTzeNolKXs0
,Cable Hip Abduction,"Seated
Standing
Side Lying","Machine
Band
Cable","Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,https://www.youtube.com/watch?v=-EeGv0Jku0g
,Cable Hip Adduction 2,,,,,https://www.youtube.com/watch?v=6XLR4iS31f8
,"Side Lying Hip Bridge, Bent Knee",,,,,https://www.youtube.com/watch?v=bT7uo9RpKEY
,"Side Lying Hip Bridge, Straight leg",,,,,https://www.youtube.com/watch?v=FrIBa-qhozw
,Supine Hip Bridge,Dynamic,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,Supine Hip Bridge - Bent Knee,,,,,https://www.youtube.com/watch?v=ef2C0ht4hLM
,Supine Hip Bridge - Bent Knee - Unilateral,,,,,https://www.youtube.com/watch?v=hopYJ1tJH4w
,Supine Hip Bridge - Swiss Ball,,,,,https://www.youtube.com/watch?v=1Fymjd4dFuA
,Supine Hip Bridge - Swiss Ball - Unilateral,,,,,https://www.youtube.com/watch?v=fYxYphbM_yA
,Hip Hinge - Kneeling,,Banded,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,https://www.youtube.com/watch?v=PPaJUDFzWpw
,Hip Hinge - Standing,,Banded,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,https://www.youtube.com/watch?v=TMhgqqYyopU
,Kettlebell Swings - Hip Hinge,,,,,https://www.youtube.com/watch?v=sW_KJ6jerGM
,McKenzie Press-up,,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
,Prone Cobra,,,"Swiss Ball
Barbell
Dumbbells 
Kettlebell
Buffalo Bar
Cambered Bar
Safety Bar
Band
High Pulley
Low pulley
Mid Pulley",,
Quadriceps,Cossack Squat,,,Buffalo Bar,,https://www.youtube.com/watch?v=jLv77repu1w
,Goblet Squat,,,Safety Bar,,https://www.youtube.com/watch?v=hfMEtl4PnDY
,Machine Hack Squat,"Feet High
Feet Low 
Feet Middle","Narrow Stance
Medium Stance
Wide Stance
Duck Stance
Platz Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,Barbell Hack Squat,Heels Elevated,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=wrHErEAyWLQ
,Leg Extension,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=DuwF8uBfwzU
,Leg Extension,Unilateral            ,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,Horizontal Leg Press,"Feet High
Feet Low 
Feet Middle
Uni-Lateral
Platz Stance","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,Incline Leg Press,"Feet High
Feet Low 
Feet Middle
Uni-Lateral
Platz Stance","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,Lunge Forward,,Alternating,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=V8J3L5k94rA
,Lunge Reverse,,Alternating,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=5-Nl38YdG5o
,Lunge Walking,,Alternating,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=29Smf7eP7R4
,Lunge Walking Backward,,Alternating,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,Lunge Drop,,Alternating,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=9WBLttJPk84
,Pendulum Squat,"Duck Stance
Narrow Stance
Medium Stance
Wide Stance",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,Power Squat Machine,"Facing In
Facing Out","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,Split Squat,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=Lm3b2S2JPPg
,"Split Squat, Front Foot Elevated",,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=gCg4gNKN1Gw
,"Split Squat, Rear Foot Elevated",,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=qTOlbsE3P2s
,"Split Squat, 1.25 reps",,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=J31GJ21SZcM
,Front Split Squat,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=AUyTamy63ew
,Low Bar Squat,"Narrow Stance
Medium Stance
Wide Stance","Top 1/3 range
Top 1/4 range
Isometronic","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=AzTKDqebtGY
,Squat Heels Elevated,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=qt59JGrxGa4
,Squat Narrow Stance,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=cxI-r3mx1zU
,Squat Platz Stance,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=__uViluG7Qs
,Squat Wide Stance,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=sYOaREvLB6s
,Squat 1.25 reps,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=RLfq46qAt3s
,Squat w/ Ankle Extension,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=8Py3OX8DUGg
,Cyclist Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance
Front Narrow Stance
Front Medium Stance
Front Wide Stance
Front Duck Stance","Top 1/4 range
Top 1/3 range
Top 1/2 range
Top 1/4 range w/ankle extension
Top 1/3 range w/ankle extension
Top 1/2 range w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=wxAGpTX5dOA
,Inertia Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance
Front Narrow Stance
Front Medium Stance
Front Wide Stance
Front Duck Stance","Top 1/4 range
Top 1/3 range
Top 1/2 range
Top 1/4 range w/ankle extension
Top 1/3 range w/ankle extension
Top 1/2 range w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=JggnRrq1tuM
,Inertia Front Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance
Front Narrow Stance
Front Medium Stance
Front Wide Stance
Front Duck Stance","Top 1/4 range
Top 1/3 range
Top 1/2 range
Top 1/4 range w/ankle extension
Top 1/3 range w/ankle extension
Top 1/2 range w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=TULK_etcNwU
,Front Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=3baCEqriYAs
,Front Squat Heels Elevated,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=3baCEqriYAs
,Front Squat Narrow Stance,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=2feO9P57R5I
,Front Squat Platz Stance,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=jbXTGZxSU9o
,Front Squat Wide Stance,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=V3KugI2UW4k
,Front Squat 1.25 reps,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=ztdkvSOMp6w
,Front Squat w/ ankle Extension,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=I3daBUE1WjA
,Cyclist Front Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic
w/ankle extension","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=zepulAtsO3I
,Single Leg Squat,"Crouching
Bench Get up",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,Single Leg Squat on Step,"Crouching
Bench Get up",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=pf7JBIvix18
,Single Leg Squat Kneeling,"Crouching
Bench Get up",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=odtC1WEmtrc
,Pistol Squat,heel elevated,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=PknB-7oh3qQ
,Jump Squat,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=zbSuMKeKWlc
,Machine Squat,"Feet High
Feet Low 
Feet Middle
Uni-Lateral
Platz Stance","Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,FreeMotion Squat,,,,,https://www.youtube.com/watch?v=p88I9PqO3uA
,FreeMotion Squat off Pad,,,,,https://www.youtube.com/watch?v=oNdhMHtbX8k
,Trap Bar Squat,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance","Heels elevated
Isometronic","Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=gITDm8dCa8E
,Trap Bar Squat w/ Ankle Extension,"Narrow Stance
Medium Stance
Wide Stance
Duck Stance",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=xQ_zVHk7q0I
,Overhead Squat,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=Z-c7QP4WFM4
,Telemark Squat,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,Step-up,"Front  Low Box        
Poliquin          
Russian  Alternating        
Side  Low Box          ",,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,
,Step-Up Front,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=2XTkvQNaw-4
,Step-Up Front Alternating,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=swwfTi4SPto
,Step-Up Petersen,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=GtMu8Ao4Qfw
,Step-Up Side,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=cZSo8Hru_vo
,Step-Up Russian,,,"Barbell
Dumbbell
Trap Bar
Kettlebell
Axle
Cambered Bar
Rocker Board            
Sitfit            
Wobble Board            ",,https://www.youtube.com/watch?v=cLeTwCPGr2A
Shoulders,Arnold Press Seated,,,,,https://www.youtube.com/watch?v=o59p20ZFj6A
,Arnold Press Standing,,,,,https://www.youtube.com/watch?v=uTuePGuhWLs
,Band Pull Aparts to Neck,,,,,https://www.youtube.com/watch?v=ju-DX1QH6Jk
,Behind the Neck Press Seated,,,,,https://www.youtube.com/watch?v=70osN2Y81kQ
,Behind the Neck Press Standing,,,,,https://www.youtube.com/watch?v=2_vHDk_xu4I
,External Rotation,"Arm Extended and Abducted in Front            
Arm Extended and Abducted Overhead            
Arm Extended and Abducted to Side            
Arm Extended and Adducted to Side            
Arm Abducted in Front          
Arm Abducted to Side          
Arm Adducted to Side  Low Pulley        
Arm Adducted to Side  Mid Pulley        
Sidelying            
Cobra            
Cuban Press          
Elbow on Knee            
Muscle Snatch          ","Seated
Standing
Kneeling",,,
,External Rotation Seated Elbow on Knee,,,,,https://www.youtube.com/watch?v=16PMW9d0XoA
,External Roration Preacher Bench Arm Horizontal Abducted,,,,,https://www.youtube.com/watch?v=S_tVliqcYH4
,External Rotation Mid Pulley Arm Abducted to Side,,,,,https://www.youtube.com/watch?v=1KT_SHpVer4
,External Rotation Low Pulley Arm Abducted to Side,,,,,https://www.youtube.com/watch?v=qsXcju8wRKY
,External Rotation Low Pulley Pulling the Sword,,,,,https://www.youtube.com/watch?v=X992w6MeZhs
,External Rotation Sidelying,,,,,https://www.youtube.com/watch?v=W8JBxtp0WaY
,External Rotation Standing Cobra,,,,,https://www.youtube.com/watch?v=BtyTsElNmOI
,External Rotation Cuban Press ,,,,,https://www.youtube.com/watch?v=NxfeYpAuiao
,Internal Rotation Mid Pulley Arm Adducted,,,,,https://www.youtube.com/watch?v=GEbVqZskCLI
,Internal Rotation High Pulley Sheathing the Sword,,,,,https://www.youtube.com/watch?v=hU6yzBZQuAY
,Front Raise,"15° Incline  Narrow Grip
15° Incline  Medium Grip      
15° Incline  Wide Grip
15° Incline  One Arm     
30° Incline  Narrow Grip     
30° Incline  Medium Grip        
30° Incline  Wide Grip       
30° Incline  One-Arm
45° Incline   Narrow Grip       
45° Incline  Medium Grip        
45° Incline  Wide Grip        
45° Incline  One-Arm        
60° Incline   Narrow Grip
60° Incline  Medium Grip
60° Incline  Wide Grip
60° Incline  One-Arm
Chest Supported  Scott Bench
Seated  Narrow         
Seated  Medium Grip       
Seated  Wide Grip      
Seated  One-Arm       
Standing  Narrow Grip   
Standing  Medium Grip        
Standing  Wide Grip       
Standing  One-Arm  ","Neutral
Pronated
Pronating
Supinated
Supinating
Semi-Pronated
Semi-Supinated",,,
,Front Raise Barbell ,,,,,https://www.youtube.com/watch?v=UyGkehERcjc
,Front Raise Narrow Grip Barbell,,,,,https://www.youtube.com/watch?v=LNGNPiepo1g
,Front Raise Wide Grip Barbell,,,,,https://www.youtube.com/watch?v=diavRSNVPKE
,Front Raise Pronated Grip DB,,,,,https://www.youtube.com/watch?v=QnPULQ0zPCg
,Front Raise Neutral Grip DB,,,,,https://www.youtube.com/watch?v=XbLSw8-WtOc
,Front Raise Around the World Forward DB,,,,,https://www.youtube.com/watch?v=hcbE-ZPzUjc
,Front Raise Around the World Backward DB,,,,,https://www.youtube.com/watch?v=rW3yubc3Wjs
,Front Raise Seated Pronated grip DB,,,,,https://www.youtube.com/watch?v=yLaI-EPKv1k
,Front Raise Seated Neutral grip DB,,,,,https://youtu.be/MTd1Nfsk-oE
,Front Raise Preacher Bench DB,,,,,https://youtu.be/DWRRq_johNA
,Horizontal Abduction,"Seated 
Standing
Kneeling","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated",,,
,Landmine Press,"Neutral
Pronated",,,,
,Landmine Press One Arm,,,,,https://youtu.be/xPp_ASF9BQc
,Lateral Raise,"Bent-over            
Machine            
Prone  15° Incline          
Prone  30° Incline     
Prone  45° Incline      
Prone  60° Incline      
Prone  75° Incline       
Prone  Flat          
Seated            
Seated  L-Lateral          
Standing
Standing L-Lateral",One-Arm,,,
,Lateral Raise Standing DB,,,,,https://youtu.be/I60hdvMazyA
,Lateral Raise Standing 1 arm DB,,,,,https://youtu.be/BMXFVETe08M
,Lateral Raise Seated DB,,,,,https://youtu.be/drk4b9ltCWM
,Lateral Raise Sidelying 1 arm DB,,,,,https://youtu.be/3sNVHTbSHX8
,Lateral Raise Prone Incline DB,,,,,https://youtu.be/xSru_61j0q0
,Lateral RaiseL Lateral Standing DB,,,,,https://youtu.be/epq2rnkPtfM
,Lateral RaiseL Lateral Seated DB,,,,,https://youtu.be/IIC3hj_dm4k
,Lateral RaiseL Lateral Seated Eccentric enhanced DB,,,,,https://youtu.be/y4_kiEy7E3g
,Lateral RaiseBent Over DB ,,,,,https://youtu.be/xLg2d4M3yiA
,Lateral Rasie Prone Flat DB,,,,,https://youtu.be/fXfQYgRoTuw
,Sidelying Lateral Raise,"on Forearm     
15° Incline       
30° Incline       
45° Incline           ","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated",,,
,One-arm Land Mine Press,,,,,
,Powell Raise,"15° Incline            
30° Incline            
45° Incline            
Flat            
Floor            
Swiss Ball            ","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated",,,
,Powell Raise Side Lying Flat DB,,,,,https://youtu.be/gK4f-3qh_FU
,Powell Raise Side Lying Incline DB,,,,,https://youtu.be/7Eaq0gp0COo
,Push Press Medium Grip ,,,,,https://youtu.be/4b2PjO2H6ZY
,Push Press Wide Grip ,,,,,https://youtu.be/poL4s1p1rpk
,Rear Delt Fly 1 arm mid pulley,,,,,https://youtu.be/tY2WaqB2-p0
,Reverse Flye,"Machine  Seated  Neutral        
Machine  Seated  Pronated        ",,,,
,Scott Press,"Seated            
Standing            ",,,,
,Shoulder Press,"Machine  Seated  Neutral        
Machine Seated
Seated
Seated Unsupported
Standing
Standing one arm anchored","Neutral
Pronated
Semi-Pronated
Supinated
Supinating
Semi-Supinated
One-Arm Neutral
One-Arm Pronated
One-Arm Rotating",,,
,Shoulder Press Seated DB,,,,,https://youtu.be/JORr81ZOU1w
,Shoulder Press Seated Neutral DB,,,,,https://youtu.be/UfKGpSFjqP0
,Shoulder Press Seated Pronating DB,,,,,https://youtu.be/A9ctfpn7ZKg
,Shoulder Press Seated SeeSaw,,,,,https://youtu.be/TsNP0DVQ6jI
,Shoulder Press Seated Unsupported DB,,,,,https://youtu.be/2JLoz6PDNQc
,Shoulder Press Seated Unsupported DB,,,,,https://youtu.be/pjwXyw_4jwU
,Shoulder Press Seated Unsupported Pronated DB,,,,,https://youtu.be/fbNE9KPuDu8
,Shoulder Press Seated Unsupported SeeSaw,,,,,https://youtu.be/FAK5bcAXxn8
,Shoulder Press Standing 1 arm,,,,,https://youtu.be/vfdQsUoUpXw
,Shoulder Press Standing 1 arm Neutral,,,,,https://youtu.be/EMLwtthBLO0
,Shoulder Press Standing DB,,,,,https://youtu.be/GhEs1JcRwUY
,Shoulder Press Standing Neutral DB,,,,,https://youtu.be/rDKkxmp8ty0
,Shoulder Press Standing Barbell,,,,,https://youtu.be/5p_-s-rBbPM
,Shoulder Press Standing Neutral Grip Barbell,,,,,https://youtu.be/SMPFCdA1kcQ
